성명,myMsg01,회사명,작성자,부서명,전화번호,이메일,제목
김민준,김민준 귀하,주식회사 김00,김민준,기획과,02-1000-1000,user000@example.go.kr,서식 채움 표본 001
이서연,이서연 귀하,주식회사 이01,이서연,총무과,02-1001-1007,user001@example.go.kr,서식 채움 표본 002
박도윤,박도윤 귀하,주식회사 박02,박도윤,감사과,02-1002-1014,user002@example.go.kr,서식 채움 표본 003
최하은,최하은 귀하,주식회사 최03,최하은,사업과,02-1003-1021,user003@example.go.kr,서식 채움 표본 004
정시우,정시우 귀하,주식회사 정04,정시우,정보화과,02-1004-1028,user004@example.go.kr,서식 채움 표본 005
강지유,강지유 귀하,주식회사 강05,강지유,기획과,02-1005-1035,user005@example.go.kr,서식 채움 표본 006
조주원,조주원 귀하,주식회사 조06,조주원,총무과,02-1006-1042,user006@example.go.kr,서식 채움 표본 007
윤서윤,윤서윤 귀하,주식회사 윤07,윤서윤,감사과,02-1007-1049,user007@example.go.kr,서식 채움 표본 008
장하준,장하준 귀하,주식회사 장08,장하준,사업과,02-1008-1056,user008@example.go.kr,서식 채움 표본 009
임지안,임지안 귀하,주식회사 임09,임지안,정보화과,02-1009-1063,user009@example.go.kr,서식 채움 표본 010
한지호,한지호 귀하,주식회사 한10,한지호,기획과,02-1010-1070,user010@example.go.kr,서식 채움 표본 011
오수아,오수아 귀하,주식회사 오11,오수아,총무과,02-1011-1077,user011@example.go.kr,서식 채움 표본 012
